Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Result UID	Characteristic	Fraction	Statistic	Value	Unit	Value Type	Detection Condition	Biological Intent	Taxon Name	Status	Last Changed
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:WB:	06-14-2016	Field Msr/Obs	Water		864973240	Turbidity			5.86	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:PH:	06-14-2016	Field Msr/Obs	Water		864973241	pH			8.06	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973242	"Total Nitrogen, mixed forms"	"Filtered, field"		117.22	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973243	"Total Phosphorus, mixed forms"	"Filtered, field"		16.68	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973244	Orthophosphate	"Filtered, field"		9.40	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973245	Silicate	"Filtered, field"		576.28	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973246	Nitrate + Nitrite	"Filtered, field"		49.04	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973247	Ammonium	"Filtered, field"		2.27	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973260	"Temperature, water"			26.7	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973261	Salinity			27.8	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973262	Dissolved oxygen (DO)			6.27	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973263	Dissolved oxygen saturation			94.7	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:WB:	06-15-2016	Field Msr/Obs	Water		864973264	Turbidity			2.89	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:FM:PS:PH:	06-15-2016	Field Msr/Obs	Water		864973265	pH			8.05	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973266	"Total Nitrogen, mixed forms"	"Filtered, field"		65.90	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973267	"Total Phosphorus, mixed forms"	"Filtered, field"		17.64	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973268	Orthophosphate	"Filtered, field"		7.82	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973269	Silicate	"Filtered, field"		461.59	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973270	Nitrate + Nitrite	"Filtered, field"		2.70	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PFF	505 Front Street	PFF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973271	Ammonium	"Filtered, field"		1.84	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973272	"Temperature, water"			26.8	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973273	Salinity			28.1	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973274	Dissolved oxygen (DO)			6.57	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973275	Dissolved oxygen saturation			99.6	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:WB:	06-15-2016	Field Msr/Obs	Water		864973276	Turbidity			2.80	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:FM:PS:PH:	06-15-2016	Field Msr/Obs	Water		864973277	pH			7.99	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973278	"Total Nitrogen, mixed forms"	"Filtered, field"		90.04	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973279	"Total Phosphorus, mixed forms"	"Filtered, field"		14.32	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973280	Orthophosphate	"Filtered, field"		6.22	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973281	Silicate	"Filtered, field"		169.92	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973282	Nitrate + Nitrite	"Filtered, field"		2.79	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLH	Lindsey Hale	PLH160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973283	Ammonium	"Filtered, field"		2.89	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973284	"Temperature, water"			27.2	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973285	Salinity			28.2	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973286	Dissolved oxygen (DO)			6.72	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973287	Dissolved oxygen saturation			102.4	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:WB:	06-15-2016	Field Msr/Obs	Water		864973288	Turbidity			2.91	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:FM:PS:PH:	06-15-2016	Field Msr/Obs	Water		864973289	pH			8.09	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973290	"Total Nitrogen, mixed forms"	"Filtered, field"		72.13	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973291	"Total Phosphorus, mixed forms"	"Filtered, field"		11.00	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973292	Orthophosphate	"Filtered, field"		5.58	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973293	Silicate	"Filtered, field"		125.36	ug/l	Actual				Final	11-27-2020 3:30:51 PM
