OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityTypeCode	ActivityMediaName	ActivityMediaSubdivisionName	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	ActivityEndDate	ActivityEndTime/Time	ActivityEndTime/TimeZoneCode	ActivityRelativeDepthName	ActivityDepthHeightMeasure/MeasureValue	ActivityDepthHeightMeasure/MeasureUnitCode	ActivityDepthAltitudeReferencePointText	ActivityTopDepthHeightMeasure/MeasureValue	ActivityTopDepthHeightMeasure/MeasureUnitCode	ActivityBottomDepthHeightMeasure/MeasureValue	ActivityBottomDepthHeightMeasure/MeasureUnitCode	ProjectIdentifier	ActivityConductingOrganizationText	MonitoringLocationIdentifier	ActivityCommentText	SampleAquifer	HydrologicCondition	HydrologicEvent	ActivityLocation/LatitudeMeasure	ActivityLocation/LongitudeMeasure	ActivityLocation/SourceMapScaleNumeric	ActivityLocation/HorizontalAccuracyMeasure/MeasureValue	ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode	ActivityLocation/HorizontalCollectionMethodName	ActivityLocation/HorizontalCoordinateReferenceSystemDatumName	AssemblageSampledName	CollectionDuration/MeasureValue	CollectionDuration/MeasureUnitCode	SamplingComponentName	SamplingComponentPlaceInSeriesNumeric	ReachLengthMeasure/MeasureValue	ReachLengthMeasure/MeasureUnitCode	ReachWidthMeasure/MeasureValue	ReachWidthMeasure/MeasureUnitCode	PassCount	NetTypeName	NetSurfaceAreaMeasure/MeasureValue	NetSurfaceAreaMeasure/MeasureUnitCode	NetMeshSizeMeasure/MeasureValue	NetMeshSizeMeasure/MeasureUnitCode	BoatSpeedMeasure/MeasureValue	BoatSpeedMeasure/MeasureUnitCode	CurrentSpeedMeasure/MeasureValue	CurrentSpeedMeasure/MeasureUnitCode	ToxicityTestType	SampleCollectionMethod/MethodIdentifier	SampleCollectionMethod/MethodIdentifierContext	SampleCollectionMethod/MethodName	SampleCollectionMethod/MethodQualifierTypeName	SampleCollectionMethod/MethodDescriptionText	SampleCollectionEquipmentName	SampleCollectionMethod/SampleCollectionEquipmentCommentText	SamplePreparationMethod/MethodIdentifier	SamplePreparationMethod/MethodIdentifierContext	SamplePreparationMethod/MethodName	SamplePreparationMethod/MethodQualifierTypeName	SamplePreparationMethod/MethodDescriptionText	SampleContainerTypeName	SampleContainerColorName	ChemicalPreservativeUsedName	ThermalPreservativeUsedName	SampleTransportStorageDescription	BinaryObjectFileName	BinaryObjectFileTypeCode	ActivityFileUrl	ActivityMetricUrl	ActivityGroupUrl	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM170126:FM:PS:PH:	Field Msr/Obs	Water		2017-01-26	07:20:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPM					20.8084440000	-156.6196970000																															Probe/Sensor	HACH PHC101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF161130:FM:PS:DO:	Field Msr/Obs	Water		2016-11-30	10:25:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OSF					20.8091600000	-156.6228900000																															Probe/Sensor	HACH LDO101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM161020:FM:PS:PH:	Field Msr/Obs	Water		2016-10-20	08:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OMM					20.8091500000	-156.6066100000																															Probe/Sensor	HACH PHC101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160726:FM:PS:TS:	Field Msr/Obs	Water		2016-07-26	08:59:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RWA					20.9044760000	-156.6859310000																															Probe/Sensor	HACH CDC401																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF160921:FM:WB:	Field Msr/Obs	Water		2016-09-21	09:36:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OSF					20.8091600000	-156.6228900000																															Water Bottle	HACH 2100Q																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB161004:FM:PS:DO:	Field Msr/Obs	Water		2016-10-04	08:35:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RCB					20.9103470000	-156.6893820000																															Probe/Sensor	HACH LDO101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160908:SR:WB:	Sample-Routine	Water		2016-09-08	07:35:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OCO					20.8098600000	-156.6136900000																															Water Bottle																	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160616:FM:WB:	Field Msr/Obs	Water		2016-06-16	10:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Water Bottle	HACH 2100Q																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKS160906:FM:PS:PH:	Field Msr/Obs	Water		2016-09-06	07:50:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RKS					20.9493310000	-156.6911240000																															Probe/Sensor	HACH PHC101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RPO160614:FM:PS:TS:	Field Msr/Obs	Water		2016-06-14	08:03:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RPO					20.9670830000	-156.6813900000																															Probe/Sensor	HACH CDC401																STORET
