Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:TS:	05-15-2018	Field Msr/Obs	Water		08-09-2021 8:02:13 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:WB:	05-15-2018	Field Msr/Obs	Water		08-09-2021 8:02:13 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:SR:WB:	05-15-2018	Sample-Routine	Water		08-09-2021 8:02:13 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:DO:	05-29-2018	Field Msr/Obs	Water		08-09-2021 8:02:18 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:PH:	05-29-2018	Field Msr/Obs	Water		08-09-2021 8:02:18 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:TS:	05-29-2018	Field Msr/Obs	Water		08-09-2021 8:02:18 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:WB:	05-29-2018	Field Msr/Obs	Water		08-09-2021 8:02:18 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:SR:WB:	05-29-2018	Sample-Routine	Water		08-09-2021 8:02:19 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:DO:	06-19-2018	Field Msr/Obs	Water		08-09-2021 8:02:25 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:PH:	06-19-2018	Field Msr/Obs	Water		08-09-2021 8:02:25 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:TS:	06-19-2018	Field Msr/Obs	Water		08-09-2021 8:02:25 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:WB:	06-19-2018	Field Msr/Obs	Water		08-09-2021 8:02:25 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:SR:WB:	06-19-2018	Sample-Routine	Water		08-09-2021 8:02:25 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:DO:	07-10-2018	Field Msr/Obs	Water		08-09-2021 8:02:30 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:PH:	07-10-2018	Field Msr/Obs	Water		08-09-2021 8:02:30 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:TS:	07-10-2018	Field Msr/Obs	Water		08-09-2021 8:02:30 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:WB:	07-10-2018	Field Msr/Obs	Water		08-09-2021 8:02:30 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:SR:WB:	07-10-2018	Sample-Routine	Water		08-09-2021 8:02:31 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:DO:	07-31-2018	Field Msr/Obs	Water		08-09-2021 8:02:35 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:PH:	07-31-2018	Field Msr/Obs	Water		08-09-2021 8:02:35 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:TS:	07-31-2018	Field Msr/Obs	Water		08-09-2021 8:02:35 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:WB:	07-31-2018	Field Msr/Obs	Water		08-09-2021 8:02:35 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:SR:WB:	07-31-2018	Sample-Routine	Water		08-09-2021 8:02:35 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:DO:	08-21-2018	Field Msr/Obs	Water		08-09-2021 8:02:41 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:PH:	08-21-2018	Field Msr/Obs	Water		08-09-2021 8:02:41 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:TS:	08-21-2018	Field Msr/Obs	Water		08-09-2021 8:02:40 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:WB:	08-21-2018	Field Msr/Obs	Water		08-09-2021 8:02:41 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:SR:WB:	08-21-2018	Sample-Routine	Water		08-09-2021 8:02:41 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180911:FM:PS:DO:	09-11-2018	Field Msr/Obs	Water		08-09-2021 8:02:44 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180911:FM:PS:PH:	09-11-2018	Field Msr/Obs	Water		08-09-2021 8:02:44 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180911:FM:PS:TS:	09-11-2018	Field Msr/Obs	Water		08-09-2021 8:02:44 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180911:FM:WB:	09-11-2018	Field Msr/Obs	Water		08-09-2021 8:02:44 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180911:SR:WB:	09-11-2018	Sample-Routine	Water		08-09-2021 8:02:44 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181002:FM:PS:DO:	10-02-2018	Field Msr/Obs	Water		08-09-2021 8:02:48 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181002:FM:PS:PH:	10-02-2018	Field Msr/Obs	Water		08-09-2021 8:02:48 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181002:FM:PS:TS:	10-02-2018	Field Msr/Obs	Water		08-09-2021 8:02:48 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181002:FM:WB:	10-02-2018	Field Msr/Obs	Water		08-09-2021 8:02:48 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181002:SR:WB:	10-02-2018	Sample-Routine	Water		08-09-2021 8:02:48 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181023:FM:PS:DO:	10-23-2018	Field Msr/Obs	Water		08-09-2021 8:02:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181023:FM:PS:PH:	10-23-2018	Field Msr/Obs	Water		08-09-2021 8:02:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181023:FM:PS:TS:	10-23-2018	Field Msr/Obs	Water		08-09-2021 8:02:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181023:FM:WB:	10-23-2018	Field Msr/Obs	Water		08-09-2021 8:02:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181023:SR:WB:	10-23-2018	Sample-Routine	Water		08-09-2021 8:02:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181113:FM:PS:DO:	11-13-2018	Field Msr/Obs	Water		08-09-2021 8:02:58 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181113:FM:PS:PH:	11-13-2018	Field Msr/Obs	Water		08-09-2021 8:02:58 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181113:FM:PS:TS:	11-13-2018	Field Msr/Obs	Water		08-09-2021 8:02:58 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181113:FM:WB:	11-13-2018	Field Msr/Obs	Water		08-09-2021 8:02:58 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181113:SR:WB:	11-13-2018	Sample-Routine	Water		08-09-2021 8:02:58 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181204:FM:PS:DO:	12-04-2018	Field Msr/Obs	Water		08-09-2021 8:03:03 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181204:FM:PS:PH:	12-04-2018	Field Msr/Obs	Water		08-09-2021 8:03:03 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181204:FM:PS:TS:	12-04-2018	Field Msr/Obs	Water		08-09-2021 8:03:03 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP181204:FM:WB:	12-04-2018	Field Msr/Obs	Water		08-09-2021 8:03:03 AM
