Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161215:FM:PS:TS:	12-15-2016	Field Msr/Obs	Water		11-27-2020 3:31:05 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161215:FM:WB:	12-15-2016	Field Msr/Obs	Water		11-27-2020 3:31:05 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161215:SR:WB:	12-15-2016	Sample-Routine	Water		11-27-2020 3:31:05 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170105:FM:PS:DO:	01-05-2017	Field Msr/Obs	Water		11-27-2020 3:31:06 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170105:FM:PS:TS:	01-05-2017	Field Msr/Obs	Water		11-27-2020 3:31:06 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170105:FM:WB:	01-05-2017	Field Msr/Obs	Water		11-27-2020 3:31:06 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170105:SR:WB:	01-05-2017	Sample-Routine	Water		11-27-2020 3:31:06 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170126:FM:PS:DO:	01-26-2017	Field Msr/Obs	Water		11-27-2020 3:31:07 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170126:FM:PS:PH:	01-26-2017	Field Msr/Obs	Water		11-27-2020 3:31:07 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170126:FM:PS:TS:	01-26-2017	Field Msr/Obs	Water		11-27-2020 3:31:07 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170126:FM:WB:	01-26-2017	Field Msr/Obs	Water		11-27-2020 3:31:07 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170126:SR:WB:	01-26-2017	Sample-Routine	Water		11-27-2020 3:31:07 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170217:FM:PS:DO:	02-17-2017	Field Msr/Obs	Water		11-27-2020 3:31:08 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170217:FM:PS:PH:	02-17-2017	Field Msr/Obs	Water		11-27-2020 3:31:08 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170217:FM:PS:TS:	02-17-2017	Field Msr/Obs	Water		11-27-2020 3:31:08 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170217:FM:WB:	02-17-2017	Field Msr/Obs	Water		11-27-2020 3:31:08 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170217:SR:WB:	02-17-2017	Sample-Routine	Water		11-27-2020 3:31:08 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170309:FM:PS:DO:	03-09-2017	Field Msr/Obs	Water		11-27-2020 3:31:09 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170309:FM:PS:PH:	03-09-2017	Field Msr/Obs	Water		11-27-2020 3:31:09 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170309:FM:PS:TS:	03-09-2017	Field Msr/Obs	Water		11-27-2020 3:31:09 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170309:FM:WB:	03-09-2017	Field Msr/Obs	Water		11-27-2020 3:31:09 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170309:SR:WB:	03-09-2017	Sample-Routine	Water		11-27-2020 3:31:09 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170330:FM:PS:DO:	03-30-2017	Field Msr/Obs	Water		11-27-2020 3:31:10 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO170330:FM:PS:PH:	03-30-2017	Field Msr/Obs	Water		11-27-2020 3:31:10 PM
