Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NMP	NMP180419		Mai Poina Oe Iau	2018-04-19	9:40	2	2	2	2	2	4	7	1	Trades	NMP180419	25.5	33.2	6.60	97.2	8.13	3.27	3.05	3.18	3.17	0.035		1	3		0	3	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKN	NKN180419		Kalepolepo North	2018-04-19	10:00	2	2	2	2	2	4	7	1	Trades	NKN180419	25.6	30.1	6.84	99.1	8.16	10.20	11.7	11.80	11.23	0.080		1	3		0	7	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NHP	NHP180503		Haycraft Park	2018-05-03	8:20	1	1	1	1	1	18	6	0	Trades	NHP180503	25.7	34.4	6.78	100.6	8.14	7.79	7.93	7.47	7.73	0.031		1	1		3	3	0	HQ40d #1 turned off by itself twice during sampling - loose batteries?
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKP	NKP180503		Kealia Pond	2018-05-03	8:55	1	1	1	1	1	18	6	0	Trades	NKP180503	25.6	35.6	6.69	99.6	8.18	1.08	1.15	1.41	1.21	0.143		1	3		0	2	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NSB	NSB180503		Sugar Beach	2018-05-03	9:20	1	1	1	1	1	18	6	0	Trades	NSB180503	25.8	35.0	6.67	99.5	8.16	4.42	4.48	4.28	4.39	0.023		1	1		3	3	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKC	NKC180503		Kihei Canoe Club	2018-05-03	9:33	1	1	1	1	1	18	6	0	Trades	NKC180503	25.9	34.3	6.67	99.2	8.15	1.36	2.16	1.91	1.81	0.226		2	1		5	3	1	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NMP	NMP180503		Mai Poina Oe Iau	2018-05-03	9:55	1	1	1	1	1	18	6	0	Trades	NMP180503	26.2	32.3	6.72	99.3	8.11	5.48	6.65	5.87	6.00	0.099		2	2		0	1	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKN	NKN180503		Kalepolepo North	2018-05-03	10:15	1	1	1	1	1	18	6	0	Trades	NKN180503	26.6	29.9	6.74	99.3	8.18	3.35	3.44	3.43	3.41	0.014		1	3		0	2	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NHP	NHP180517		Haycraft Park	2018-05-17	8:15	2	2	2	2	2	4	7	0	Trades	NHP180517	25.5	34.1	6.69	98.7	8.13	4.92	5.66	5.07	5.22	0.075		1	1		0	6	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKP	NKP180517		Kealia Pond	2018-05-17	8:45	2	2	2	2	2	4	7	0	Trades	NKP180517	25.7	35.2	6.74	100.0	8.2	2.16	2.05	1.69	1.97	0.125		1	2		0	6	0	
